GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tsas-backend,com.cas.tsas.player.infrastructure.persistence.repository,PlayerPersistenceAdapter,0,55,0,0,0,13,0,5,0,5
tsas-backend,com.cas.tsas.match.infrastructure.persistence.mapper,PointMapper,0,91,0,0,0,30,0,3,0,3
tsas-backend,com.cas.tsas.match.infrastructure.persistence.mapper,MatchMapper,0,55,0,0,0,18,0,3,0,3
tsas-backend,com.cas.tsas.match.infrastructure.persistence.mapper,MatchScoreMapper,0,109,0,0,0,36,0,3,0,3
tsas-backend,com.cas.tsas.player.application.service,PlayerService,0,176,0,2,0,43,0,14,0,13
tsas-backend,com.cas.tsas.statistics.infrastructure.web.dto,MatchStatisticsDto,0,29,0,0,0,6,0,2,0,2
tsas-backend,com.cas.tsas.statistics.infrastructure.web.dto,PlayerStatisticsDto,11,77,1,1,0,9,1,2,0,2
tsas-backend,com.cas.tsas.statistics.infrastructure.web.dto,HeadToHeadStatisticsDto,0,34,0,0,0,5,0,2,0,2
tsas-backend,com.cas.tsas.statistics.infrastructure.web.dto,HeadToHeadPlayerStatsDto,0,107,0,0,0,10,0,2,0,2
tsas-backend,com.cas.tsas.statistics.infrastructure.web,MatchStatisticsController,0,20,0,0,0,6,0,2,0,2
tsas-backend,com.cas.tsas.statistics.infrastructure.web,HeadToHeadController,0,13,0,0,0,4,0,2,0,2
tsas-backend,com.cas.tsas.match.domain.model,MatchStatus,0,15,0,0,0,2,0,1,0,1
tsas-backend,com.cas.tsas.match.domain.model,PointType,0,51,0,0,0,2,0,1,0,1
tsas-backend,com.cas.tsas.match.domain.model,Point,62,90,1,3,15,30,15,16,14,15
tsas-backend,com.cas.tsas.match.domain.model,MatchScore,15,151,0,0,4,47,4,30,4,30
tsas-backend,com.cas.tsas.match.domain.model,Direction,0,21,0,0,0,2,0,1,0,1
tsas-backend,com.cas.tsas.match.domain.model,StrokeType,0,33,0,0,0,2,0,1,0,1
tsas-backend,com.cas.tsas.match.domain.model,Match,27,49,0,0,7,17,7,9,7,9
tsas-backend,com.cas.tsas.ai.domain.model,MatchAnalysis,3,84,0,0,1,24,1,24,1,24
tsas-backend,com.cas.tsas.ai.domain.model,Recommendation,0,12,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.ai.domain.model,AnalysisStatus,0,21,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.statistics.domain.model,HeadToHeadPlayerStats,0,63,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.statistics.domain.model,HeadToHeadStatistics,0,18,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.statistics.domain.model,PlayerStatistics,0,42,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.statistics.domain.model,MatchStatistics,0,21,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.statistics.domain.model,DirectionDistribution,0,6,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.statistics.domain.model,StrokeDistribution,0,6,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.statistics.domain,PointAttribution,0,35,0,7,0,7,0,5,0,1
tsas-backend,com.cas.tsas.match.domain.exception,MatchAlreadyCompletedException,0,6,0,0,0,2,0,1,0,1
tsas-backend,com.cas.tsas.match.domain.exception,ActiveMatchExistsException,0,6,0,0,0,2,0,1,0,1
tsas-backend,com.cas.tsas.match.domain.exception,MatchNotFoundException,0,6,0,0,0,2,0,1,0,1
tsas-backend,com.cas.tsas.ai.application.dto,MatchAnalysisResult,0,21,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.ai.application.dto,MatchMetadata,0,18,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.ai.application.dto,MatchMetadata.PlayerInfo,0,15,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.match.application.port.in,SetScoreUseCase.SetScoreCommand,0,39,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.match.application.port.in,CreateMatchUseCase.CreateMatchCommand,0,18,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.match.application.port.in,SetServingPlayerUseCase.SetServingPlayerCommand,0,9,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.match.application.port.in,RecordPointUseCase.RecordPointCommand,0,24,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.match.infrastructure.persistence.repository,MatchScorePersistenceAdapter,0,37,0,0,0,8,0,3,0,3
tsas-backend,com.cas.tsas.match.infrastructure.persistence.repository,MatchPersistenceAdapter,0,129,0,8,0,24,0,12,0,8
tsas-backend,com.cas.tsas.match.infrastructure.persistence.repository,PointPersistenceAdapter,0,44,0,0,0,12,0,4,0,4
tsas-backend,com.cas.tsas.match.infrastructure.web.dto.request,RecordPointRequest,0,21,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.match.infrastructure.web.dto.request,SetScoreRequest,36,0,0,0,1,0,1,0,1,0
tsas-backend,com.cas.tsas.match.infrastructure.web.dto.request,EndMatchWalkoverRequest,0,6,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.match.infrastructure.web.dto.request,CreateMatchRequest,0,18,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.ai.application.service,MatchAnalysisService,12,232,0,8,0,54,2,11,2,7
tsas-backend,com.cas.tsas.common.web,CommonExceptionHandler,2,50,1,3,0,11,1,5,0,4
tsas-backend,com.cas.tsas.common.web,CorsProperties,0,6,0,0,0,1,0,1,0,1
tsas-backend,com.cas.tsas.common.web,CorsConfig,0,44,0,0,0,11,0,2,0,2
